SA	784	classic	أبغى أخلص قبل الظهر	abgha akhalliS gabl aD-Dhuhr	I want to finish before noon.
SA	785	classic	ممكن تذكرني بعدين؟	mumkin tithakkarni ba3dayn?	Can you remind me later?
SA	786	classic	أنا شوي متوتر اليوم	ana shway mutawattir al-yom	I'm a little nervous today.
SA	787	classic	إذا فضيت أرسل لك	itha faDeet arsil lak	If I get free, I'll send it to you.
SA	788	classic	وش تحب تسوي بعد الدوام؟	wush ti7ibb tisawwi ba3d ad-dawam?	What do you like to do after work?
SA	789	classic	أبغى أشتري هدية لأخوي	abgha ashtari hadiyyah li-akhoy	I want to buy a gift for my brother.
SA	790	classic	ممكن تساعدني أختار؟	mumkin tsa3idni akhtar?	Can you help me choose?
SA	791	classic	أنا مرة فرحان بالخبر	ana marrah far7an bil-khabar	I'm really happy about the news.
SA	792	classic	بنتظر لين تخلص	bantathir leen tikhlaS	I'll wait until you finish.
SA	793	classic	وش ناقصنا للبيت؟	wush nagSna lil-bait?	What do we need for the house?
SA	794	classic	أبغى أجيب موية للبيت	abgha ajeeb moyah lil-bait	I want to get water for the house.
SA	795	classic	ممكن تذكرني آخذها؟	mumkin tithakkarni akhuthha?	Can you remind me to get it?
SA	796	classic	أنا توّي راجع من الدوام	ana tawwi raje3 min ad-dawam	I just got back from work.
SA	797	classic	خلنا نرتاح قبل العشا	khallna nirtah gabl al-3asha	Let's rest before dinner.
SA	798	classic	وش صار مع التوصيل؟	wush Sar ma3 at-tawSeel?	What happened with the delivery?
SA	799	classic	أبغى أعرف متى يوصل	abgha a3raf mata yooSal	I want to know when it will arrive.
SA	800	classic	ممكن تتأكد من الطلب؟	mumkin titakkad min aT-Talab?	Can you check the order?
SA	801	classic	أنا للحين ما استلمته	ana lil7een ma istalamta	I still haven't received it.
SA	802	classic	إذا وصل دق علي	itha waSal digg 3alay	Call me when it arrives.
SA	803	classic	وش عندكم اليوم؟	wush 3indakum al-yom?	What do you have today?
SA	804	classic	أبغى أجرب شي من عندكم	abgha ajarrib shay min 3indakum	I want to try something from here.
SA	805	classic	ممكن تعطيني شوي وقت؟	mumkin ti3Teeni shway wagt?	Can you give me a little time?
SA	806	classic	أنا للحين محتار	ana lil7een mu7tar	I'm still unsure.
SA	807	classic	خلني أسأل أخوي	khallini as'al akhoy	Let me ask my brother.
SA	808	classic	وش فيه حولنا؟	wush feh 7awlna?	What's around here?
SA	809	classic	أبغى مكان هادي	abgha makan hadi	I want a quiet place.
SA	810	classic	ممكن تدلني على المدخل؟	mumkin tidillni 3ala al-madkhal?	Can you show me the entrance?
SA	811	classic	أنا جاي من بعيد	ana jayi min ba3eed	I've come from far away.
SA	812	classic	بروح وأرجع لك	baroo7 wa arja3 lak	I'll go and get back to you.
SA	813	classic	وش تبغى نجيب للعشا؟	wush tibgha njib lil-3asha?	What should we get for dinner?
SA	814	classic	أبغى شي يشبع	abgha shay yishba3	I want something filling.
SA	815	classic	ممكن نخليها لبكرة؟	mumkin nkhalliha libukra?	Can we leave it until tomorrow?
SA	816	classic	أنا اليوم عندي موعد	ana al-yom 3indi mow3id	I have an appointment today.
SA	817	classic	إذا خلصت أجيك	itha khalaSt ajeek	I'll come to you when I'm done.
SA	818	classic	وش رايك نروح كوفي؟	wush rayak nroo7 kofi?	What do you think about going to a café?
SA	819	classic	أبغى آخذ قهوتي معي	abgha akhuth gahwati ma3i	I want to take my coffee with me.
SA	820	classic	ممكن أسدد بالبطاقة؟	mumkin asaddid bil-biTaqah?	Can I pay by card?
SA	821	classic	أنا جوعان مرة الحين	ana joo3an marrah al-7een	I'm really hungry right now.
SA	822	classic	بنشوف بعض بعدين	binshoof ba3D ba3dayn	We'll see each other later.
SA	823	classic	وش تبي تسوي بعدين؟	wush tibgha tisawwi ba3dayn?	What do you want to do later?
SA	824	classic	أبغى أمر البقالة أول	abgha amurr al-baqqalah awwal	I want to stop by the grocery store first.
SA	825	classic	ممكن تحطها هنا؟	mumkin ti7uTTha hina?	Can you put it here?
SA	826	classic	أنا ما شبعت للحين	ana ma shibi3t lil7een	I'm still not full yet.
SA	827	classic	خلاص أنا بطلع الحين	khalaS ana baTla3 al-7een	Alright, I'm heading out now.
SA	828	classic	وش ودك تسوي الليلة؟	wush waddak tisawwi al-laylah?	What do you want to do tonight?
SA	829	classic	أبغى أطلب أكل الحين	abgha aTlub akl al-7een	I want to order food now.
SA	830	classic	ممكن تعطيني الشاحن؟	mumkin ti3Teeni ash-sha7in?	Can you give me the charger?
SA	831	classic	أنا متأخر شوي عليك	ana mita'akhkhir shway 3alayk	I'm running a little late.
SA	832	classic	لا تنسى ترسل لي	la tinsa tirsil li	Don't forget to send it to me.
SA	833	classic	وش رايك نطلع شوي؟	wush rayak niTla3 shway?	What do you think about going out for a bit?
SA	834	classic	أبغى أبدل ملابسي	abgha abdil malabsi	I want to change my clothes.
SA	835	classic	ممكن تخلي لي مكان؟	mumkin tkhalli li makan?	Can you save me a seat?
SA	836	classic	أنا ما أقدر أجي اليوم	ana ma agdar aji al-yom	I can't come today.
SA	837	classic	بشوفك عند المكان	bashoofak 3ind al-makan	I'll see you at the place.
