TR	1	classic	عايز أشرب قهوة دلوقتي	3ayez ashrab ahwa delwa2ti	Şimdi kahve içmek istiyorum
TR	2	cta	Kaç tanesini bildin?		Yorumlarda bize söyle!
TR	3	classic	أنا جعان	ana ga'an	Ben açım
TR	4	classic	أنا عطشان	ana atşan	Ben susadım
TR	5	classic	أنا متضايق	ana mitdayye'	Canım sıkkın
TR	6	classic	أنا مبسوط	ana mabsuut	Ben mutluyum
TR	7	classic	بكنس الأرض	baknes el-ard	Yeri süpürüyorum
TR	8	classic	بلم الألعاب	balemm el-al'ab	Oyuncakları topluyorum
TR	9	classic	برتب السرير	baratteb es-sarir	Yatağı topluyorum
TR	10	classic	بنضف المكتب	banaddaf el-maktab	Masayı temizliyorum
TR	11	classic	بكنس الأرض كل يوم الصبح	baknes el-ard kol yom es-sob7	Her sabah yeri süpürüyorum
TR	12	classic	بلم الألعاب من على الأرض	balemm el-al'ab men 3ala el-ard	Oyuncakları yerden topluyorum
TR	13	classic	برتب السرير بعد ما أصحى	baratteb es-sarir ba3d ma as7a	Uyandıktan sonra yatağı topluyorum
TR	14	classic	بنضف المكتب قبل الشغل	banaddaf el-maktab abl esh-shoghl	İşten önce masayı temizliyorum
TR	15	classic	بكنس الأرض	baknes el-ard	Yeri süpürüyorum
TR	16	classic	بلم الألعاب	balemm el-al'ab	Oyuncakları topluyorum
TR	17	classic	برتب السرير	baratteb es-sarir	Yatağı topluyorum
TR	18	classic	بغسل الهدوم	baghsil el-hudum	Kıyafetleri yıkıyorum
TR	19	classic	بنشر الهدوم	بانşor el-hudum	Kıyafetleri asıyorum
TR	20	classic	بطبق الهدوم	batabba' el-hudum	Kıyafetleri katlıyorum
TR	21	classic	بكوي الهدوم	bakwi el-hudum	Kıyafetleri ütülüyorum
TR	22	classic	اشتريت خضار ب ٧٥ جنيه	iştaret hodar be 75 gineh	75 Mısır lirasına sebze aldım
TR	23	classic	اشتريت طماطم ب ٣٠ جنيه	iştaret tamatem be 30 gineh	30 Mısır lirasına domates aldım
TR	24	classic	اشتريت خيار ب ٢٠ جنيه	iştaret hiyar be 20 gineh	20 Mısır lirasına salatalık aldım
TR	25	classic	اشتريت فلفل ب ٢٠ جنيه	iştaret filfil be 20 gineh	20 Mısır lirasına biber aldım
TR	26	classic	اشتريت جرجير ب ٥ جنيه	iştaret gargir be 5 gineh	5 Mısır lirasına roka aldım
TR	27	classic	أنا لابسة فستان	ana labsa fustan	Elbise giyiyorum
TR	28	classic	أنا لابسة جيبة وبلوزة	ana labsa giiba ve bluza	Etek ve bluz giyiyorum
TR	29	classic	أنا لابسة قميص وبنطلون	ana labsa amiis ve bantalon	Gömlek ve pantolon giyiyorum
TR	30	classic	أنا لابسة بدلة	ana labsa badla	Takım elbise giyiyorum
TR	31	classic	أنا لابسة بيجامة	ana labsa bigama	Pijama giyiyorum
TR	32	classic	أنا بحب أكل المحشي بكل أنواعه	ana bahebb akl el-mahşi be-koll anva'oh	Her çeşit mahşiyi yemeyi seviyorum
TR	33	classic	بحب أكل محشي الكرنب والخس	bahebb akl mahşi el-koronb vel-hass	Lahana ve marul dolmasını seviyorum
TR	34	classic	وبحب محشي الكوسة والباذنجان والفلفل	ve-bahebb mahşi el-kuusa vel-betingan vel-filfil	Kabak, patlıcan ve biber dolmasını seviyorum
TR	35	classic	وبحب كمان الممبار المحشي	ve-bahebb kamen el-mombar el-mahşi	Ayrıca mumbar dolmasını da seviyorum
TR	36	classic	أنا مش فاهم	ana miş fahim	Anlamıyorum
TR	37	classic	أنا مش بتكلم عربي	ana miş batkallem arabi	Arapça konuşamıyorum
TR	38	classic	اتكلم بالراحة شوية	itkallem bir-raha şuvayya	Biraz yavaş konuş
TR	39	classic	على مهلك	ala mahlak	Yavaş ol
TR	40	classic	أنا لسه بتعلم	ana lissa batallim	Daha yeni öğreniyorum
TR	41	classic	دي أول مرة أجرب حمام محشي	di avval marra agarrab hamam mahşi	İlk defa iç pilavlı güvercin deniyorum
TR	42	classic	عايز سندوتش كبدة إسكندراني	ayez sandviç kebda iskandarani	İskenderiye usulü ciğer sandviçi istiyorum
TR	43	classic	الفتة دي طعمها حلو أوي	el-fatta di ta'maha helv avi	Bu fettanın tadı çok güzel
TR	44	classic	عايز حواوشي سخن لو سمحت	ayez havavşi sohn lav samaht	Sıcak havavşi istiyorum, lütfen
TR	45	classic	أنا بحب الملوخية مع الرز	ana bahebb el-molokhiyya ma' er-rozz	Molohiyeyi pilavla seviyorum
TR	46	classic	عايز سندوتش طعمية وفول	ayez sandviç ta'miyya ve fuul	Taameya ve ful sandviçi istiyorum
TR	47	classic	أيام الأسبوع عند المصريين بتبدأ السبت وبتنتهي الجمعة	ayyam el-usbu' and el-masriyyin bitibda es-sabt ve-bitinti el-gom'a	Mısırlılarda hafta cumartesi başlar ve cuma günü biter
TR	48	classic	السبت أجازة رسمية في مصر	es-sabt agaza rasmiyya fi Masr	Cumartesi Mısır'da resmî tatildir
TR	49	classic	الأحد أول أيام الدراسة	el-hadd avval ayyam ed-dirasa	Pazar okulun ilk günüdür
TR	50	classic	الإثنين أجازة الحلاقين في مصر	el-itnen agazet el-halla'in fi Masr	Pazartesi Mısır'da berberlerin tatil günüdür
TR	51	classic	يوم الثلاثاء عندنا سوق التلات	yom et-talatt andena su' et-talatt	Salı günü bizde Salı Pazarı kurulur
TR	52	classic	يوم الأربعاء عندنا سوق الأربع برضه	yom el-arba' andena su' el-arba' bardo	Çarşamba günü de Çarşamba Pazarı kurulur
TR	53	classic	الخميس نهاية أيام العمل الرسمية	el-hamis nihayet ayyam el-amal er-rasmiyya	Perşembe resmî çalışma haftasının son günüdür
TR	54	classic	الجمعة أجازة رسمية في مصر	el-gom'a agaza rasmiyya fi Masr	Cuma Mısır'da resmî tatildir
TR	55	classic	دي قهوة مظبوط	di ahwa mazbuut	Bu orta şekerli kahve
TR	56	classic	عايز قهوة مظبوط لو سمحت	ayez ahwa mazbuut lav samaht	Orta şekerli kahve istiyorum, lütfen
TR	57	classic	دي قهوة سادة	di ahwa sada	Bu şekersiz kahve
TR	58	classic	عايز قهوة سادة لو سمحت	ayez ahwa sada lav samaht	Şekersiz kahve istiyorum, lütfen
TR	59	classic	القهوة من غير سكر لو سمحت	el-ahwa min ğeer sokkar lav samaht	Kahve şekersiz olsun, lütfen
TR	60	classic	أنا بطبخ	ana batboh	Yemek yapıyorum
TR	61	classic	أنا بحب أطبخ	ana bahebb atboh	Yemek yapmayı seviyorum
TR	62	classic	أنا بطبخ كل يوم	ana batboh kol yom	Her gün yemek yapıyorum
TR	63	classic	أنا بطبخ الغدا كل يوم	ana batboh el-ğada kol yom	Her gün öğle yemeği yapıyorum
TR	64	classic	أنا بحب أتمشى	ana bahebb atmaşşa	Yürüyüş yapmayı seviyorum
TR	65	classic	أنا بحب أتمشى كل يوم	ana bahebb atmaşşa kol yom	Her gün yürüyüş yapmayı seviyorum
TR	66	classic	أنا بحب أتمشى كل يوم مع أصحابي	ana bahebb atmaşşa kol yom ma' ashabi	Her gün arkadaşlarımla yürüyüş yapmayı seviyorum
TR	67	classic	أنا بحب أتمشى كل يوم الساعة ٦ الصبح	ana bahebb atmaşşa kol yom es-sa'a setta es-sob7	Her gün sabah saat altıda yürüyüş yapmayı seviyorum
TR	68	classic	وبحب أتمشى الساعة ١٠ بالليل	ve-bahebb atmaşşa es-sa'a aşara bil-leel	Gece saat onda yürüyüş yapmayı da seviyorum
TR	69	classic	دي شجرة كبيرة	di şagara kebira	Bu büyük bir ağaç
TR	70	classic	دي أشجار كبيرة	di aşgar kebira	Bunlar büyük ağaçlar
TR	71	classic	دي وردة جميلة	di varda gamila	Bu güzel bir gül
TR	72	classic	دي ورود جميلة	di vurud gamila	Bunlar güzel güller
TR	73	classic	دي برتقالة حلوة	di borta'ana helva	Bu tatlı bir portakal
TR	74	classic	ده برتقال حلو	da borta'an helv	Bunlar tatlı portakallar
TR	75	classic	دي تفاحة حمرا	di toffaha hamra	Bu kırmızı bir elma
TR	76	classic	ده تفاح أحمر	da toffah ahmar	Bunlar kırmızı elmalar
TR	77	classic	دي رمانة كبيرة	di rommana kebira	Bu büyük bir nar
TR	78	classic	ده رمان كبير	da romman kebir	Bunlar büyük narlar
TR	79	classic	مش مشكلة يا صاحبي	miş moşkila ya sahbi	Sorun değil arkadaşım
TR	80	classic	ولا يهمك يا حبيبي	vala yihimmak ya habibi	Hiç önemli değil dostum
TR	81	classic	عادي يا عم ولا يهمك	adi ya amm vala yihimmak	Boş ver, hiç önemli değil
TR	82	classic	مش هتفرق معايا خالص	miş hatifra' ma'aya halis	Benim için hiç fark etmez
TR	83	classic	حصل خير ولا يهمك	hasal heer vala yihimmak	Olan oldu, sorun değil
TR	84	classic	خيرها في غيرها يا صاحبي	heerha fi ğeerha ya sahbi	Kısmet değilmiş, başka sefere
TR	85	classic	الكتاب فوق الترابيزة	el-kitab fo' et-tarabeeza	Kitap masanın üstünde
TR	86	classic	الشنطة تحت الكرسي	eş-şanta taht el-korsi	Çanta sandalyenin altında
TR	87	classic	الباب على اليمين	el-bab ala el-yemin	Kapı sağ tarafta
TR	88	classic	الشباك على الشمال	eş-şobbak ala eş-şimal	Pencere sol tarafta
TR	89	classic	الموبايل على السرير	el-mobayl ala es-sarir	Telefon yatağın üstünde
TR	90	classic	المفتاح جوه الشنطة	el-miftah govva eş-şanta	Anahtar çantanın içinde
TR	91	classic	الكرسي ما بين الترابيزتين	el-korsi ma ben et-tarabeezten	Sandalye iki masanın arasında
TR	92	classic	الشنطة جنب الباب	eş-şanta gamb el-bab	Çanta kapının yanında
TR	93	classic	الكتاب فوق الترابيزة	el-kitab fo' et-tarabeeza	Kitap masanın üstünde
TR	94	classic	الشنطة تحت الكرسي	eş-şanta taht el-korsi	Çanta sandalyenin altında
TR	95	classic	الباب على اليمين	el-bab ala el-yemin	Kapı sağ tarafta
TR	96	classic	الشباك على الشمال	eş-şobbak ala eş-şimal	Pencere sol tarafta
TR	97	classic	الموبايل على السرير	el-mobayl ala es-sarir	Telefon yatağın üstünde
TR	98	classic	المفتاح جوه الشنطة	el-miftah govva eş-şanta	Anahtar çantanın içinde
TR	99	classic	الكرسي ما بين الترابيزتين	el-korsi ma ben et-tarabeezten	Sandalye iki masanın arasında
TR	100	classic	الشنطة جنب الباب	eş-şanta gamb el-bab	Çanta kapının yanında
TR	101	classic	الكتاب فوق الترابيزة	el-kitab fo' et-tarabeeza	Kitap masanın üstünde
TR	102	classic	الشنطة تحت الكرسي	eş-şanta taht el-korsi	Çanta sandalyenin altında
TR	103	classic	الباب على اليمين	el-bab ala el-yemin	Kapı sağ tarafta
TR	104	classic	الشباك على الشمال	eş-şobbak ala eş-şimal	Pencere sol tarafta
TR	105	classic	الموبايل على السرير	el-mobayl ala es-sarir	Telefon yatağın üstünde
TR	106	classic	المفتاح جوه الشنطة	el-miftah govva eş-şanta	Anahtar çantanın içinde
